title,videoIDs,video_description,publishedDate,likes,dislikes,views,comment
Michael Page - The Crazy Knockouts,OCv23X0H9jo,"In the world of sports, audacity is a great characteristic that makes millions. Michael Page, nicknamed Venom, has earned fame not only for his spectacular knockouts but also for his arrogant behavior in the cage...

🎧 Songs:
Kevin Graham - Ablaze
Ziv Moran  - Hourglass
Bobby Cole - Wars In The Stars
Kevin Graham - By the Sword

#MichaelPage #Venom #mma",2021-06-28T13:29:16Z,9835,560,1030804,337
Mike Tyson - The Legendary Power,dMxOwbqs1hE,"In March 1985, a real phenomenon from Brooklyn entered the ring. The perfect coach, Cus D'Amato, turned the young fighter into a real hitman in the heavyweight division, revealing only his best qualities...

🎧 Songs:
Kevin Graham - Fallen
Bobby Cole - Epic Cinematic Movie Trailer Music
Valentina Gribanova - Epic Death Of A Hero
Daniel Willett - Journey to Consciousness
Lance Conrad - Down To The Wire
Edgar Hopp - Skyfall
Dream Cave - The Eternal War
Christina Nemo - Dark String Trailer
Hampus Naeselius - Breathe it in Deep
Hampus Naeselius - It All Ends Now
Jeff Hanley - Cinematic Action Tension Trailer
Jo Wandrini - Phantasm
Kevin Graham - Apex
Hampus Naeselius - The Sewers
Edgar Hopp - One Last Battle
Valentina Gribanova - Epic Cinematic Drama
Dream Cave - The Eternal War
Kikoru - Agent Puzzle
Bonnie Grace - Triumph Hill
Roman-p - They will come soon
Bonnie Grace - Triumph Hill
Dream Cave - Truce No More
Dream Cave - Guardians
Bonnie Grace - Riot in the Capital
Dream Cave - A Mother's Wrath
Dream Cave - Night of the Drowned
Edgar Hopp - When All Kingdoms Fall

#MikeTyson #Boxing #Legend",2021-06-23T16:19:04Z,28564,2626,3801569,1318
How George Foreman Brutally Destroyed His Opponents!,VE_iTTiViUs,"Looking at the current George Foreman, it is difficult to imagine that this now good-natured 72-year-old man, once inspired terror in tall those who went out to fight him in the ring...

🎧 Songs:
Christina Nemo - Dark String Trailer
C.J. Harris - The throne
Luke Neumann - Shadows alt percussion
Valentina Gribanova - Epic Death Of A Hero
Reynard Seidel - Closeness


#GeorgeForeman #Boxing #Knockouts",2021-06-03T12:55:06Z,4745,260,405557,347
This Confrontation Should Be Remembered By Everyone - Leonard vs Duran I & II,iW3pAJ1NQ5Y,"Sugar Ray Leonard star shines at the Montreal Olympics. The perfect team, the perfect coach - Angelo Dundee, the perfect time.. In 1979, after the victory of Sugar over boxing genius - Wilfred Benitez, he did not have any welterweight contenders. The last hope of the Americans was the opposite of Ray, boxer of the decade, lightweight leader, Panamanian - Roberto Duran. 

🎧 Songs:
Joseph Trapanese - Aberration
Bobby Cole - Epic Cinematic Movie Trailer Music
Daniel Clem - Interstellar Drift
Drone One - Triumphant
James Dooley - Trinity
Adam Peters - Disclosure

#Boxing #Legend #Fight",2021-05-28T14:10:08Z,2028,140,159048,201
The Destruction of monsters in MMA,9pxYd_hpS94,"Today our review is devoted to the destruction of real monsters of large masses in MMA. Is weight important in a fight? This question is often asked by martial art lovers whether extra few tens of kilograms will help them to win in a real battle. We receive answers to all these questions in MMA to the sport closest to the street fight...

#Fight #MMA",2021-05-24T19:59:09Z,3935,233,434084,185
3 Fights That Will Never Be Forgotten - Part 7,EPuH3X9uLho,"More episodes in this playlist - https://www.youtube.com/playlist?list=PLTkClcDWsj-Ogz9Qdj6NKYWn6j_4oklBD

00:00 Introduction
01:12 Julian Jackson vs Herol Graham
06:44 Evander Holyfield vs Riddick Bowe I
15:53 Thomas Hearns vs Iran Barkley

🎧 Songs:
Tom Player - Beckoning
Entropy Zero - Crimson Sunrise
Adam Peters - Admission
Todd Haberman - Marching Forward
Joseph Trapanese - Array
Adam Peters - The Underground
Adam Peters - Lossless
Damned Anthem - Fall Of Eternity
Danny Cocke - Enigma

#Boxing #Legend #Fight",2021-05-20T14:59:21Z,5676,431,805784,185
Mike Tyson vs Titans - A Brutal Knockouts,nKVIYMI3ktw,"Mike Tyson is a true legend of the heavyweight division. He entered the ring to literally kill his opponents with his insane rage and power...

🎧 Songs:
Joseph Trapanese - Array
Todd Haberman - Marching Forward
Danny Cocke - Nemesis
Danny Cocke - Reborn
James Dooley - Trinity

#MikeTyson #Knockouts #Legend",2021-05-16T17:30:22Z,96099,8844,12927475,2753
Top 20 Exciting Knockouts in the History of MMA,s3-Mh50KxHo,"In this episode, we want to show you the TOP 20 best and most impressive knockouts in MMA. What kind of fights do you prefer? The increasingly popular battles in MMA? Or the classic duels in boxing? Let us know in the comments.


🎧 Songs:
Danny Cocke - Nemesis
Danny Cocke - Pantheon
Damned Anthem - Fall Of Eternity
Danny Cocke - Reborn
Danny Cocke - Enigma
Danny Cocke  -Pantheon
James Dooley feat. Danny Cocke - Destroyers in the Sky (Danny Cocke Mix)
Entropy Zero - Crimson Sunrise

#knockouts #mma #boxing",2021-05-10T17:24:11Z,22592,2049,2901750,619
The Real King of Protection. Pernell Whitaker - Legends Never Die,ShVCAY9iF7I,"Each boxing legend has their own unique skillset. Some have great knockout punches, others excellent stamina or endurance, and some are masters of defense – such as Pernell Whitaker...

🎧 Songs:
Todd Haberman - Marching Forward
Tom Player - In Flames
Drone One - Triumphant
Adam Peters - Disclosure
Tom Player - Beckoning
Trevor Kowalski - A Fighting Chance

#Legend #Boxing #Speed",2021-05-05T21:14:38Z,4071,250,278978,399
When two Pound for Pound Fighters Stepped Into the Ring,NkDs8g4w5vY,"In Boxing, it is extremely rare for two unbeaten fighters within the top 5 of the world's Pound for pound ranking to meet in the ring; but that is exactly what happened on November 18th, 1994, at the MGM Grand in Las Vegas...

🎧 Songs:
Jo Blankenburg - Lilith
Joseph Trapanese - Array
Bobby Cole - Epic Cinematic Movie Trailer Music
Adam Peters - Lossless
Lance Conrad - Down To The Wire
Danny Cocke - Pantheon
Michael Vignola - Stumbling

#Boxing #JamesToney #RoyJones",2021-04-09T09:09:44Z,2470,157,194281,90
A Brutal fight between - Evander Holyfield and Dwight Muhammad Qawi,88pPAJI_Tq0,"July 12, 1986. Bronze medalist of the 1984 Los Angeles Olympic Games, 23-year-old Evander Holyfield, in just 12 bouts in the professional ring, enters the fight for the title of world champion. The current WBA titleholder is 33-year-old Dwight Muhammad Qawi for whom it was his second belt defense...


🎧 Songs:
Adam Peters - The Underground
Dream Cave - The Eternal War
Danny Cocke - Spirals Of Time
Jo Blankenburg - Divus

#Boxing #EvanderHolyfield #DwightMuhammadQawi",2021-03-25T17:53:02Z,9421,587,818013,527
3 Fights That Will Never Be Forgotten - Part 6,pIFzexP71ts,"More episodes in this playlist - https://www.youtube.com/playlist?list=PLTkClcDWsj-Ogz9Qdj6NKYWn6j_4oklBD

00:00 Introduction
01:26 Julian Jackson vs Herol Graham
06:46 Muhammad Ali vs Joe Frazier III
16:40 Lennox Lewis vs Hasim Rahman I & II

🎧 Songs:
Jo Blankenburg - Cerberus
Jon Bjork - Adamantine
Bobby Cole - Epic Cinematic Movie Trailer Music
Valentina Gribanova - Epic Death Of A Hero
Drone One - Triumphant
Edgar Hopp - One Last Battle
Jon Bjork - Sheer Will
Edgar Hopp - Skyfall
Bryce Jacobs - Dark Energy
Danny Cocke - Enigma
James Dooley - Trinity
Jay Arr - Hitman's Paradise

#Boxing #Legend #Fight",2021-03-11T08:33:57Z,4211,276,337588,141
Bruce Lee. Real Fights and Dispelling Myths,7qjadcIMcRU,"45 years after his death, Bruce is still recognized as the greatest martial artist in history and the mastermind behind a generation. To achieve so much, to rethink the genre of cinema and, in principle, to acquaint the mass audience with the true beauty and effectiveness of martial arts, and all this in 32 years of life, is truly incomprehensible...

🎧 Songs:
Danny Cocke - Enigma
Dream Cave - Never Tell Me the Odds
Dream Cave - Mainlander
Howard Harper-Barnes - Forever to Run
Trevor Kowalski - A Fighting Chance
Michael Vignola - Stumbling
Gavin Luke - What Once Was
Valentina Gribanova - Sad Piano Cello and Violin
Michael Vignola - Knowing
Danny Cocke - Spirals Of Time
Tom Player - In Flames

#BruceLee #Legend #mma",2021-02-11T19:55:48Z,29097,1794,2775978,1541
The Confrontation between Puerto Rico and Ghana - Wilfredo Gomez vs Azumah Nelson,oLK7oUsGj4I,"The fight between Puerto Rico and Ghana has its own separate chapter in the history of boxing. Standing apart is the duel of the two greatest fighters - Wilfredo Gomez and Azumah Nelson... 

🎧 Songs:
Entropy Zero - Crimson Sunrise
Danny Cocke - Pantheon
Danny Cocke - Reborn


#Boxing #Fighters #Legend",2021-02-03T13:24:39Z,4733,149,263367,287
Is this the Most Spectacular Fighter in Boxing History?! - Prince Naseem Hamed,I6trzzrGb0Y,"Unorthodox, and with a large fanbase, who’s boxing antics generated a large following, Naseem Hamed, nicknamed ‘Prince’, was a real showman...

🎧 Songs:
Adam Fielding - Chase The Light
Tom Player - Beckoning
Jo Wandrini - Hordes
Tigerblood Jewel - I Think You Better
Valentina Gribanova - Epic Death Of A Hero
Lagua Vesa - Only Once More
Dream Cave - Night of the Drowned
Damned Anthem - Fall Of Eternity
Dream Cave - The Eternal War
Adam Peters - Disclosure
Adam Peters - The Underground
Daniel Clem - Interstellar Drift
Danny Cocke - Enigma
Lance Conrad - Down To The Wire

#NaseemHamed #Boxing #Legend",2021-01-27T18:06:16Z,31082,3328,3630601,3935
Mike Tyson - The KING of Boxing,VMpf4Srzxqo,"The potential of the Iron Mike was so great that he could dominate the ring for many years.  When Tyson was coached by Cus D'Amato and then Kevin Rooney, he was a real machine of knockouts...

🎧 Songs:
John Murphy - In the House, In a Heartbeat
Vendetta - Jo Blankenburg
Christina Nemo - Dark String Trailer
Valentina Gribanova - Epic Death Of A Hero
Todd Haberman - Marching Forward
Bobby Cole - Epic Cinematic Movie Trailer Music
Dream Cave - Night of the Drowned
Dream Cave - Peacekeepers
James Dooley feat. Danny Cocke - Destroyers in the Sky
James Dooley - Trinity

#Boxing #MikeTyson #Legend",2021-01-17T18:36:09Z,55895,4966,8918777,1405
3 Fights That Will Never Be Forgotten - Part 5,Pqzw6YvQX-o,"More episodes in this playlist - https://www.youtube.com/playlist?list=PLTkClcDWsj-Ogz9Qdj6NKYWn6j_4oklBD

00:00 Introduction
00:58 Joe Frazier vs George Foreman
06:11 Riddick Bowe vs Andrew Golota
16:13 Mike Tyson vs Evander Holyfield I

🎧 Songs:
Tom Player - In Flames
Drone One - Triumphant
Lance Conrad - Down To The Wire
Jo Wandrini - Hordes
Valentina Gribanova - Epic Cinematic Drama
Luke Neumann - Shadows
Valentina Gribanova - Epic Death Of A Hero
Bobby Cole - Wars In The Stars
Jo Blankenburg - Cerberus
Dream Cave - The Eternal War
Kikoru - Agent Puzzle
Valentina Gribanova - Majestic Planet Earth
Michael Vignola - Escaping Forever

#Boxing #Fights #Legend",2021-01-10T15:53:56Z,10702,936,1774037,282
The story about confrontation between - Roy Jones Jr. vs Antonio Tarver,UMJUMDMO2h0,"For a long time, Roy Jones Jr. dominated the professional ring, becoming the world middleweight champion, and then successfully moving through each weight division, going all the way to the top...

🎧 Songs:
Damned Anthem - Outerlands
Todd Haberman - Marching Forward
Lance Conrad - Down To The Wire
Dream Cave - The Eternal War
Daniel Clem - Interstellar Drift
Adam Peters - The Underground
Adam Peters - Lossless
Edgar Hopp - One Last Battle

#Boxing #RoyJones #AntonioTarver",2020-12-31T17:45:35Z,3085,275,316973,426
The confrontation between two friends - Floyd Mayweather Jr. and Zab Judah,P4EN6GslJrA,"With the loss to Carlos Manuel Baldomir, it appeared that Judah's much anticipated bout with Mayweather was off, but Judah's promoter Don King and Mayweather's promoter Bob Arum reworked the deals so the fight would go on...

🎧 Songs:
Danny Cocke - The Quickening
Ballpoint - Flavor
Tom Player - In Flames
Luke Neumann - Shadows
Danny Cocke - Metamorphosis
Joseph Trapanese - Aberration
Bottom Shaker - Trap Trill

#Boxing #Fighter #Confrontation",2020-12-19T18:14:13Z,5491,606,671075,335
3 Fights That Will Never Be Forgotten - Part 4,VUA3LT9pCvQ,"More episodes in this playlist - https://www.youtube.com/playlist?list=PLTkClcDWsj-Ogz9Qdj6NKYWn6j_4oklBD

00:00 Introduction
01:28 Riddick Bowe vs Evander Holyfield III
07:48 Iran Barkley vs James Toney
16:27 Roy Jones Jr. vs John Ruiz

🎧 Songs:
Adam Peters - Disclosure
Luke Neumann - Shadows
James Dooley - Lux Eternal
Neil Cross - Classical tension
Bobby Cole - Epic Cinematic Movie Trailer Music
Lance Conrad - Down To The Wire
Jo Wandrini - Legions
Jon Bjork - Sheer Will
Adam Peters - The Underground
Ihor Vitsinskyy - Epic Cinematic Trailer
Christina Nemo - Dark String Trailer
Luke Neumann - Shadows alt percussion 3
Dream Cave - Never Tell Me the Odds
Dream Cave - The Eternal War
Reynard Seidel - Closeness

#Boxing #Fights #Legend",2020-12-10T14:22:58Z,11432,1120,1610088,339
A Mysterious Fighter Who Has Been Devoured by Inner Demons,6TXLUcBU2QY,"In the history of boxing, there are many dramatic stories in which ordinary people, overcoming incredible difficulties, became world champions and the idols of millions. There were also reverse situations when money and popularity caused the fighters to engage in crazy and self-destructive behavior.. But Edwin Valero's story is unlike any of them...

🎧 Songs:
Jo Blankenburg - Cerberus
Jack Trammell - Clockwork Universe
Luke Neumann - Shadows
Lance Conrad - Down To The Wire
Entropy Zero - Crimson Sunrise
Dream Cave - The Eternal War
Jo Wandrini - Sciophobia
Dream Cave - Never Tell Me the Odds
Peter Sandberg - Dismantle

#EdwinValero #Boxing",2020-11-29T19:26:57Z,35817,3191,4702087,2956
George Foreman vs Joe Frazier - 8 Falls in 7 Rounds,9DNJEnNbOxo,"The magic of Frazier’s victory over Muhammad Ali overshadowed the head of even the most intelligent boxing analysts. Among American experts, only 4 out of 31 predicted George would win...

🎧 Songs:
Danny Cocke - Enigma
Dark Alley Set - Dark Alley
Danny Cocke - Pantheon
Drone One - Triumphant
Jo Blankenburg - Satorius
Howard Harper-Barnes - Forever to Run
Trevor Kowalski - A Fighting Chance

#GeorgeForeman #JoeFrazier #Boxing",2020-11-15T12:28:50Z,19978,1041,1800461,1731
Mike Tyson - All Knockouts of the Legend,kknVfOJZ1w0,"He was called the ‘Baddest man on the planet’ for his incredible punching power and aggressive fighting style. His Speed, strength, and vicious aggression earned him the title of the youngest world heavyweight champion in 1986. He is Iron Mike Tyson.

🎧 Songs:
Danny Cocke - Reborn
Danny Cocke - Enigma
Entropy Zero - Crimson Sunrise
Danny Cocke - Pantheon
Adam Peters - Disclosure
Adam Peters - Elite Hacker
Adam Peters - Lossless
Bryce Jacobs - Dark Energy
Danny Cocke - Collider
Drone One - Triumphant
Jo Blankenburg - Cerberus
Jo Wandrini - Hordes
Dream Cave - The Eternal War
Damned Anthem - Fall Of Eternity
Jon Bjork - Sheer Will
Jon Bjork - Adamantine
Jo Blankenburg - Satorius
Peter Sandberg - Dismantle

#MikeTyson #Legend #Boxing",2020-11-02T14:34:38Z,595915,45394,97465714,25929
3 Fights That Will Never Be Forgotten - Part 3,FywDSZKjhl0,"More episodes in this playlist - https://www.youtube.com/playlist?list=PLTkClcDWsj-Ogz9Qdj6NKYWn6j_4oklBD

00:00 Introduction
01:16 Mike Tyson vs Lennox Lewis
12:57 Michael Carbajal vs Humberto Gonzalez
21:53 George Foreman vs Ron Lyle

🎧 Songs:
Joseph Trapanese - Aberration
Danny Cocke - Disarmed
Danny Cocke - Enigma
Dream Cave - Never Tell Me the Odds
Cushy - Sparkling
Jon Bjork - Sheer Will
Danny Cocke - Reborn
Edgar Hopp - One Last Battle
Lagua Vesa - Only Once More
Barnes - Forever to Run - Howard Harper
FormantX - Destiny Rising
Jo Wandrini - Legions
Kikoru - Agent Puzzle
Dream Cave - Epic Voyage
Edgar Hopp - Gravitated

#Boxing #Fights #Legend",2020-10-20T13:39:22Z,47342,3689,8716725,2039
Mike Tyson - The Most Dangerous Boxer in History,C3TTMvl_7es,"The potential of the Iron Mike was so great that he could dominate the ring for many years, but despite all brutality and aggressiveness that he displayed he was a person who needed very delicate psychological support. When Cus d'Amato and later Kevin Rooney were beside him, Mike was a real machine of knockouts. Mike Tyson of that period is that very Tyson that we know and love...

#MikeTyson #Boxing #Legend",2020-10-09T17:18:22Z,102456,8417,13500590,2683
Charles ‘Sonny’ Liston  - A Legend Never Dies,c12FjikiZeE,"Today we remember one of the most formidable punchers in the history of boxing, looking at the career and somewhat difficult life of fighter Charles ‘Sonny’ Liston.

🎧 Songs:
Axel Ljung - Own the World 2
Gavin Luke - What Once Was
Jerry McHoy - Afternoon in Washington Square Park
Lagua Vesa - Only Once More
Dream Cave - The Eternal War
Adam Peters - The Underground
Drone One - Triumphant
Entropy Zero - Crimson Sunrise
Daniel Clem - Interstellar Drift
Peter Sandberg - Dismantle

#Boxing #SonnyListon #Legends",2020-10-07T09:35:41Z,9183,581,834094,1042
Roy Jones Jr. - A Story of the Perfect Boxer,tMJAVcK7VNg,"This is a story about a man who raised boxing to the level of art. He was adored by millions and critics tormented him all his life. He always put the process above the result and went to victory in the most unexpected, unusually witty way. He mastered all genres of boxing performance, from drama to showmanship...

🎧 Songs:
Bottom Shaker - Trap Trill
Lagua Vesa - Only Once More
Jon Bjork - Sheer Will
Roy Jones Jr. - Can't be touched (Instrumental Version)
Kings Never Die feelings (Instrumental Version)
Dylan Sitts - Jade Plant

#Boxing #RoyJones #Boxer",2020-09-28T16:32:33Z,6228,385,449845,303
3 Fights That Will Never Be Forgotten - Part 2,rEOMLD5o_pg,"More episodes in this playlist - https://www.youtube.com/playlist?list=PLTkClcDWsj-Ogz9Qdj6NKYWn6j_4oklBD

00:00 Introduction
01:03 George Foreman vs Muhammad Ali
07:40 Rocky Marciano vs Jersey Joe Walcott
14:46 Sugar Ray Leonard vs Roberto Duran

🎧 Songs:
Bryce Jacobs - Dark Energy
Lagua Vesa - Only Once More
Dream Cave - The Eternal War
Jo Wandrini - Legions
The Best Ofs - Flaming Eightballs
Wellmess - Two Hearts Drawn on Cloudy Glass (Instrumental Version)
Lagua Vesa - Only Once More
Adam Peters - Elite Hacker
Jon Bjork - Sheer Will
Dream Cave - Never Tell Me the Odds

#Boxing #Fight",2020-09-08T14:03:50Z,41048,2732,4337509,1236
Brutal confrontation between Mike Tyson (USA) vs Frank Bruno (England),VA-8tU5sxWk,"The huge Briton in the person of Frank Bruno did not look like a serious threat to the absolute champion. Only his compatriots believed in Big Frankie. However, the boxing fate gave Bruno chances that he could not take ...

🎧 Songs:
Danny Cocke - Collider
Danny Cocke - Enigma
DJ Cheapshot & Vin Skully - Cut Throat
Jack Trammell - Clockwork Universe
Lagua Vesa - Only Once More
Trailer Worx - Intentional Terror
Dream Cave - The Eternal War
Entropy Zero - Crimson Sunrise
Danny Cocke - Pantheon
The Weeknd Type Beat x 6lack Type Beat - Under My Skin

#MikeTyson #FrankBruno #Boxing",2020-08-31T19:49:07Z,7845,446,640089,686
The Infernal Fight - Acelino Freitas vs Jorge Rodrigo Barrios,2TTzRHzAQS4,"Acelino Freitas was a real monster of the second-lowest weight class. For a long time, he owned the WBO title, literally wiping away his opponents from the ring. It seemed that he was boxing not in his weight category and could “drop” fighters up to average weight... 

 🎧 Songs: 
Adam Peters - Disclosure 
Danny Cocke - Reborn 
Jo Wandrini - Hordes 

#AcelinoFreitas #JorgeRodrigoBarrios #Boxing",2020-08-10T16:43:56Z,2585,285,493752,69
3 Fights That Will Never Be Forgotten - Part 1,etF9T-Z_id8,"More episodes in this playlist - https://www.youtube.com/playlist?list=PLTkClcDWsj-Ogz9Qdj6NKYWn6j_4oklBD

00:00 Introduction
01:13 Mike Tyson vs Buster Douglas
11:07 Muhammad Ali vs Cleveland Williams
16:52 Arturo Gatti vs Ivan Robinson

🎧 Songs:
Danny Cocke - Pantheon
Danny Cocke - Enigma
Adam Peters - Admission
Bryce Jacobs - Dark Energy
Daniel Clem - Interstellar Drift
Evan King - From Other Suns
Drone One - Triumphant
Jon Bjork - Sheer Will
Adam Peters - Admission
Dream Cave - The Eternal War
Howard Harper-Barnes - Forever to Run
Admission - Adam Peters
Jay Arr - Hitman's Paradise

#Boxing #Fights #Legend",2020-08-04T11:36:30Z,38796,3173,5437081,1102
The Fastest Boxer in Boxing History - Sugar Ray Leonard - Pt2,xTCoclTDgC0,"Part 1 - https://youtu.be/hXvq8P1bgdM

Sugar Ray Leonard was one of the world's leading boxers of the 70s and 80s of the last century. His skills, combined with a bright personality and charisma made him a star, while the sport needed a new hero. The era of Muhammad Ali was drawing to a close and the young Sugar Ray Leonard wanted to follow in the footsteps of his idol in heavyweight...

🎧 Songs:
Damned Anthem  - Edge Of Nowhere
Trailer Worx - Intentional Terror
Howard Harper-Barnes - Forever to Run
Reynard Seidel - Closeness
Jo Wandrini - Hordes
Ballpoint - Jackals
Damma Beatz - Live with It
Dream Cave - Peacekeepers
Jon Bjork - Sheer Will
Dream Cave - The Eternal War

#SugarRayLeonard #Boxing #RayLeonard",2020-07-28T19:10:47Z,51754,2988,6429620,2940
When Two legends Go To War - Roy Jones Jr. vs Joe Calzaghe,g9ZRy5JOTWc,"The match Jones vs. Calzaghe caused a stir. However, not everything was so simple...

🎧 Songs:
Damned Anthem - Fall Of Eternity
Jon Bjork - Desperate Insurgance
Damma Beatz - Live with It
Jo Wandrini - Legions
Jon Bjork - Sheer Will
6lack Type Beat x Snoh Aalegra Type Beat - Take Me With You

#RoyJones #JoeCalzaghe #Boxing",2020-07-08T19:08:51Z,6491,561,705562,571
